index,start,end,duration,cumval,roi,type
1,309,311,4,0.38058411939317166,1,snowmelt
1,309,311,4,0.4221191120447534,1,snowmelt
2,689,689,2,0.10674496698730233,1,snowmelt
1,310,313,5,0.5521383109937608,1,snowmelt
2,315,315,2,0.10526854761347654,1,snowmelt
3,339,339,2,0.11215252590177988,1,snowmelt
4,689,691,4,0.3294490697718299,1,snowmelt
1,310,311,3,0.29363475378460685,1,snowmelt
2,313,313,2,0.1225120599669963,1,snowmelt
3,315,315,2,0.1177845456582344,1,snowmelt
4,318,321,5,0.4931681430779301,1,snowmelt
5,324,325,3,0.21106544940064775,1,snowmelt
6,339,340,3,0.24433331350708626,1,snowmelt
7,689,691,4,0.34350042097312444,1,snowmelt
1,309,313,6,0.7005212766354699,1,snowmelt
2,339,339,2,0.11962686695254325,1,snowmelt
3,689,694,7,0.7782006144574555,1,snowmelt
1,310,313,5,0.5769786441725473,1,snowmelt
2,315,315,2,0.11543283149423353,1,snowmelt
3,318,321,5,0.42338593213919884,1,snowmelt
4,325,326,3,0.20892282204835147,1,snowmelt
5,339,340,3,0.25796495368194433,1,snowmelt
6,690,695,7,0.8869867401972563,1,snowmelt
1,310,311,3,0.2956697629249964,1,snowmelt
2,313,313,2,0.10681568752655536,1,snowmelt
3,315,315,2,0.11974473451796494,1,snowmelt
4,318,321,5,0.5849054941809949,1,snowmelt
5,323,327,6,0.9998275101875638,1,snowmelt
6,339,341,4,0.4107848644602671,1,snowmelt
7,690,695,7,0.926890035769261,1,snowmelt
8,700,700,2,0.10241307772421679,1,snowmelt
1,311,311,2,0.15559594817784173,1,snowmelt
2,318,318,2,0.11761338145453507,1,snowmelt
3,320,321,3,0.24672653755282262,1,snowmelt
4,325,327,4,0.5180848339404028,1,snowmelt
5,330,336,8,1.530702512379249,1,snowmelt
6,339,348,11,1.6689186318018223,1,snowmelt
7,691,696,7,0.8938845551128048,1,snowmelt
8,701,703,4,0.33876675705225356,1,snowmelt
1,310,313,5,0.49206121289831756,1,snowmelt
2,315,315,2,0.11290482844977581,1,snowmelt
3,318,321,5,0.4645206875360225,1,snowmelt
4,323,327,6,0.756016913709739,1,snowmelt
5,339,341,4,0.3760733789112506,1,snowmelt
6,691,696,7,0.9894802753465652,1,snowmelt
1,310,311,3,0.25301297853120547,1,snowmelt
2,315,315,2,0.10345851178273975,1,snowmelt
3,318,321,5,0.5368462755494839,1,snowmelt
4,323,327,6,0.9840158325200798,1,snowmelt
5,330,335,7,0.8054480083092236,1,snowmelt
6,339,342,5,0.5479832230788078,1,snowmelt
7,691,692,3,0.24461004605198938,1,snowmelt
8,694,696,4,0.6245402566909084,1,snowmelt
9,703,703,2,0.10088848638887082,1,snowmelt
1,311,311,2,0.14564280097949234,1,snowmelt
2,318,318,2,0.11625482964613099,1,snowmelt
3,320,321,3,0.23455748012454514,1,snowmelt
4,324,327,5,0.7336661484997292,1,snowmelt
5,330,335,7,1.529133336356113,1,snowmelt
6,339,343,6,0.7438094212057806,1,snowmelt
7,692,692,2,0.12099054343770481,1,snowmelt
8,694,696,4,0.6287937383996047,1,snowmelt
9,701,705,6,0.566348014706861,1,snowmelt
1,311,311,2,0.1236020787133092,1,snowmelt
2,320,320,2,0.10582816231539176,1,snowmelt
3,325,327,4,0.4362970427619573,1,snowmelt
4,331,336,7,1.340485785430998,1,snowmelt
5,339,339,2,0.11400048434052192,1,snowmelt
6,341,358,19,3.638586606130641,1,snowmelt
7,694,696,4,0.5600344129416636,1,snowmelt
8,703,708,7,0.9523765906871638,1,snowmelt
1,12,12,2,0.11676524745117453,1,snowmelt
2,20,23,5,0.5152191146976283,1,snowmelt
3,325,327,4,0.4359649637080735,1,snowmelt
4,331,336,7,0.9360616697620969,1,snowmelt
5,341,343,4,0.4291645176509169,1,snowmelt
6,346,380,36,6.839186051104712,1,snowmelt
7,396,396,2,0.11949003808311892,1,snowmelt
8,400,402,4,0.40052423665646975,1,snowmelt
9,404,406,4,0.38667838499314955,1,snowmelt
10,542,542,2,0.10031913480111641,1,snowmelt
11,544,544,2,0.10096074433115108,1,snowmelt
12,695,696,3,0.22950711118006295,1,snowmelt
13,705,714,11,1.406859061390663,1,snowmelt
14,720,724,6,0.7985440437815661,1,snowmelt
15,762,763,3,0.2853922236878994,1,snowmelt
16,769,769,2,0.11518735947755092,1,snowmelt
1,12,12,2,0.12119604297567917,1,snowmelt
2,20,20,2,0.12101514188614063,1,snowmelt
3,22,24,4,0.3939871989846468,1,snowmelt
4,77,77,2,0.1072564097276974,1,snowmelt
5,325,327,4,0.39047474553508,1,snowmelt
6,331,335,6,0.7115475311468327,1,snowmelt
7,341,342,3,0.29753822007076824,1,snowmelt
8,346,387,43,7.926781337779008,1,snowmelt
9,396,397,3,0.25302066554634167,1,snowmelt
10,400,402,4,0.4418629541882405,1,snowmelt
11,405,406,3,0.29272102391875077,1,snowmelt
12,545,546,3,0.20480770661210673,1,snowmelt
13,707,714,9,1.1243684296828407,1,snowmelt
14,721,727,8,1.3720045973601134,1,snowmelt
15,762,764,4,0.43290348181316374,1,snowmelt
16,769,770,3,0.2630450457516198,1,snowmelt
0,0,0,0,0,1,snowmelt
1,12,16,6,0.6179832327797314,1,snowmelt
2,18,20,4,0.35239276008267845,1,snowmelt
3,22,24,4,0.3992102695358556,1,snowmelt
4,137,137,2,0.1027984534163782,1,snowmelt
5,326,327,3,0.20668743804674505,1,snowmelt
6,331,335,6,0.6858688008505247,1,snowmelt
7,341,342,3,0.23308106075071933,1,snowmelt
8,346,392,48,9.05717126265187,1,snowmelt
9,396,397,3,0.27687039870791014,1,snowmelt
10,400,402,4,0.4352229105135925,1,snowmelt
11,405,406,3,0.2850165848815772,1,snowmelt
12,545,546,3,0.20693598486948211,1,snowmelt
13,707,714,9,1.217198361870597,1,snowmelt
14,722,730,10,1.5326791002046034,1,snowmelt
15,762,764,4,0.4561823259839505,1,snowmelt
16,769,770,3,0.24244282025125724,1,snowmelt
0,0,0,0,0,1,snowmelt
1,13,20,9,1.176719565098729,1,snowmelt
2,22,28,8,0.8224516857904939,1,snowmelt
3,137,137,2,0.10156033151177454,1,snowmelt
4,333,335,4,0.4318734217849131,1,snowmelt
5,341,341,2,0.1033908660495412,1,snowmelt
6,346,346,2,0.12043195367114107,1,snowmelt
